id,kind,l0,l1,l2,l3,l4_label,phrase,definition,source,scope,x,y,risk_color,evidence_status,evidence_title,evidence_url,evidence_type,risk_severity_1to5,risk_probability_proxy_0to1,risk_impact_score,risk_impact_percentile,risk_visual_radius
RISK-REF-0014,risk,Risk,Privacy and security harms,Cyber vulnerability,Model extraction,Model extraction,model extraction,"Adversaries may reconstruct model behavior, parameters, or proprietary capabilities through queries.",MITRE ATLAS; AVID,global,1.714431,0.454351,#5a67c8,framework-derived initial node,MITRE ATLAS: Adversarial Threat Landscape for Artificial-Intelligence Systems,https://atlas.mitre.org/,source,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
RISK-REF-0015,risk,Risk,Privacy and security harms,Cyber vulnerability,Supply-chain compromise,AI supply-chain compromise,AI supply-chain compromise,"Dependencies, model weights, datasets, or deployment pipelines may be compromised upstream.",MITRE ATLAS; OWASP LLM Top 10,global,1.965916,1.638221,#5a67c8,framework-derived initial node,OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,source,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
RISK-REF-0016,risk,Risk,Privacy and security harms,Cyber vulnerability,Retrieval poisoning,Retrieval poisoning,retrieval poisoning,Malicious documents can be inserted into retrieval pipelines to influence agentic or RAG outputs.,OWASP LLM Top 10; AVID; MITRE ATLAS,global,3.27655,0.156789,#5a67c8,framework-derived initial node,OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,source,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
RISK-REF-0017,risk,Risk,Misinformation and information-ecosystem harms,Synthetic media and deception,Deepfake impersonation,Deepfake impersonation,deepfake impersonation,Synthetic media can impersonate individuals or institutions and undermine trust in authentic communication.,OECD AIM; AI Incident Database; MIT AI Risk Repository,global-local,0.930428,0.926824,#c58a2d,framework-derived initial node,AI Incident Database,https://incidentdatabase.ai/,source,1.4883,0.64022,0.9528,0.3061288305190744,8.93693625407413
RISK-REF-0018,risk,Risk,Misinformation and information-ecosystem harms,Synthetic media and deception,Election misinformation,AI-generated election misinformation,AI-generated election misinformation,Generative AI can produce targeted misleading political content during elections.,OECD AIM; AI Incident Database; CSET AI Harm Taxonomy,global-local,1.422619,1.553433,#c58a2d,framework-derived initial node,AI Incident Database,https://incidentdatabase.ai/,source,1.4883,0.64022,0.9528,0.3061288305190744,8.93693625407413
RISK-REF-0019,risk,Risk,Misinformation and information-ecosystem harms,Synthetic media and deception,Fraudulent content automation,Automated fraud content,automated fraud content,"AI systems can scale phishing, scams, fake reviews, or fraudulent official-looking material.",AI Incident Database; OWASP LLM Top 10,global-local,1.355444,0.627706,#c58a2d,framework-derived initial node,OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,source,1.4883,0.64022,0.9528,0.3061288305190744,8.93693625407413
RISK-REF-0020,risk,Risk,Misinformation and information-ecosystem harms,Epistemic integrity,Hallucinated evidence,Hallucinated evidence,hallucinated evidence,"Models may fabricate citations, facts, legal claims, or scientific evidence with plausible presentation.",MIT AI Risk Repository; NIST GenAI Profile,global,0.069244,1.813406,#c58a2d,framework-derived initial node,NIST AI 600-1: Artificial Intelligence Risk Management Framework: Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,source,1.4883,0.64022,0.9528,0.3061288305190744,8.93693625407413
RISK-REF-0021,risk,Risk,Misinformation and information-ecosystem harms,Epistemic integrity,Source misattribution,Source misattribution,source misattribution,AI systems can incorrectly attribute claims or obscure the provenance of information.,NIST GenAI Profile; Microsoft Value Compass,global,1.155514,1.381011,#c58a2d,framework-derived initial node,NIST AI 600-1: Artificial Intelligence Risk Management Framework: Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,source,1.4883,0.64022,0.9528,0.3061288305190744,8.93693625407413
RISK-REF-0022,risk,Risk,Misinformation and information-ecosystem harms,Epistemic integrity,Model collapse of public knowledge,Model collapse of public knowledge,model collapse of public knowledge,Recursive use of synthetic content may degrade public information quality and future model training data.,MIT AI Risk Repository; OECD AIM,global,3.407032,2.012001,#c58a2d,framework-derived initial node,The Curse of Recursion: Training on Generated Data Makes Models Forget,https://arxiv.org/abs/2305.17493,paper,1.4883,0.64022,0.9528,0.3061288305190744,8.93693625407413
RISK-REF-0023,risk,Risk,Malicious use and weaponization,Dual-use misuse,Cyber offense automation,Cyber offense automation,cyber offense automation,"AI can accelerate vulnerability discovery, exploit generation, phishing, and attack orchestration.",MITRE ATLAS; OWASP LLM Top 10; OECD AIM,global,0.283369,1.148115,#b74343,framework-derived initial node,OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,source,2.1045,0.706518,1.4869,0.5863039399624765,12.580459334495565
RISK-REF-0024,risk,Risk,Malicious use and weaponization,Dual-use misuse,Chemical or biological assistance,CBRN assistance,CBRN assistance,"Advanced models may assist harmful chemical, biological, radiological, or nuclear planning.",NIST GenAI Profile; MIT AI Risk Repository,global,0.108325,1.181828,#b74343,framework-derived initial node,NIST AI 600-1: Artificial Intelligence Risk Management Framework: Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,source,2.1045,0.706518,1.4869,0.5863039399624765,12.580459334495565
RISK-REF-0025,risk,Risk,Malicious use and weaponization,Dual-use misuse,Weaponized autonomy,Weaponized autonomous systems,weaponized autonomous systems,"AI-enabled systems may be used for autonomous targeting, surveillance, or kinetic harm.",MIT AI Risk Repository; EU AI Act; OECD AIM,global,1.32387,1.271606,#b74343,framework-derived initial node,OECD AI Incidents and Hazards Monitor,https://oecd.ai/en/incidents,source,2.1045,0.706518,1.4869,0.5863039399624765,12.580459334495565
RISK-REF-0026,risk,Risk,Malicious use and weaponization,Criminal misuse,Scam personalization,Personalized AI scams,personalized AI scams,"AI can generate persuasive, individualized scam content at scale.",AI Incident Database; OECD AIM,global-local,3.068109,1.344389,#b74343,framework-derived initial node,AI Incident Database,https://incidentdatabase.ai/,source,2.1045,0.706518,1.4869,0.5863039399624765,12.580459334495565
RISK-REF-0027,risk,Risk,Malicious use and weaponization,Criminal misuse,Identity spoofing,AI identity spoofing,AI identity spoofing,"Voice, image, or text generation can be used to spoof trusted identities.",AI Incident Database; OECD AIM,global-local,1.173721,0.534666,#b74343,framework-derived initial node,AI Incident Database,https://incidentdatabase.ai/,source,2.1045,0.706518,1.4869,0.5863039399624765,12.580459334495565
RISK-REF-0028,risk,Risk,Malicious use and weaponization,Surveillance misuse,Mass surveillance enablement,Mass surveillance enablement,mass surveillance enablement,"AI can lower the cost of large-scale tracking, profiling, or social control.",MIT AI Risk Repository; EU AI Act,global-local,-0.344636,1.543897,#b74343,framework-derived initial node,EU Artificial Intelligence Act,https://artificialintelligenceact.eu/,source,2.1045,0.706518,1.4869,0.5863039399624765,12.580459334495565
RISK-REF-0029,risk,Risk,Human agency and interaction harms,Autonomy and manipulation,Manipulative persuasion,Manipulative AI persuasion,manipulative AI persuasion,AI systems may exploit cognitive vulnerabilities to shape choices without meaningful consent.,MIT AI Risk Repository; Microsoft Value Compass,global-local,0.010855,2.263433,#8a63c7,framework-derived initial node,Sycophancy in Language Models,https://arxiv.org/abs/2310.13548,paper,2.7618,0.450018,1.2429,0.3708567854909318,10.91594027135602
RISK-REF-0030,risk,Risk,Human agency and interaction harms,Autonomy and manipulation,Overreliance,Automation overreliance,automation overreliance,Users may over-trust AI outputs and reduce independent judgment in consequential tasks.,NIST AI RMF; MIT AI Risk Repository,global,1.789483,1.224316,#8a63c7,framework-derived initial node,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,source,2.7618,0.450018,1.2429,0.3708567854909318,10.91594027135602
RISK-REF-0031,risk,Risk,Human agency and interaction harms,Autonomy and manipulation,Loss of contestability,Loss of contestability,loss of contestability,Affected individuals may be unable to challenge AI-mediated decisions or obtain meaningful redress.,NIST AI RMF; EU AI Act,global-local,1.924508,2.075258,#8a63c7,framework-derived initial node,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,source,2.7618,0.450018,1.2429,0.3708567854909318,10.91594027135602
RISK-REF-0032,risk,Risk,Human agency and interaction harms,Human-machine interaction,Emotional dependency,Emotional dependency on AI,emotional dependency on AI,Users may develop harmful dependency on AI companions or assistants.,MIT AI Risk Repository; Microsoft Value Compass,global-local,1.565945,1.041127,#8a63c7,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,2.7618,0.450018,1.2429,0.3708567854909318,10.91594027135602
RISK-REF-0033,risk,Risk,Human agency and interaction harms,Human-machine interaction,Deskilling,AI-induced deskilling,AI-induced deskilling,"Repeated delegation to AI may erode professional, civic, or cognitive skills.",MIT AI Risk Repository; Microsoft Value Compass,global-local,0.129781,2.281858,#8a63c7,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,2.7618,0.450018,1.2429,0.3708567854909318,10.91594027135602
RISK-REF-0034,risk,Risk,Human agency and interaction harms,Human-machine interaction,Unsafe delegation,Unsafe task delegation,unsafe task delegation,Users or organizations may delegate tasks to AI beyond the system’s reliable competence.,Microsoft Agent Failure Taxonomy; NIST GenAI Profile,global,1.051183,2.34954,#8a63c7,framework-derived initial node,Microsoft Taxonomy of Failure Modes in AI Agents,https://www.microsoft.com/en-us/security/blog/2025/04/24/new-whitepaper-outlines-the-taxonomy-of-failure-modes-in-ai-agents/,source,2.7618,0.450018,1.2429,0.3708567854909318,10.91594027135602
RISK-REF-0035,risk,Risk,Socioeconomic and environmental harms,Labor and inequality,Job displacement,AI-driven job displacement,AI-driven job displacement,Automation can displace workers or reorganize occupations faster than institutions can adapt.,MIT AI Risk Repository; OECD AI policy work,global-local,0.501275,1.958762,#3c9a6b,framework-derived initial node,OECD AI Policy Observatory,https://oecd.ai/,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0036,risk,Risk,Socioeconomic and environmental harms,Labor and inequality,Wage polarization,AI-related wage polarization,AI-related wage polarization,AI adoption may increase wage inequality between complementary and substitutable skills.,OECD AI Papers; MIT AI Risk Repository,global-local,0.103421,2.25598,#3c9a6b,framework-derived initial node,OECD AI Policy Observatory,https://oecd.ai/,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0037,risk,Risk,Socioeconomic and environmental harms,Labor and inequality,Algorithmic workplace surveillance,Algorithmic workplace surveillance,algorithmic workplace surveillance,"AI can intensify monitoring, performance scoring, and managerial control over workers.",AI Incident Database; MIT AI Risk Repository,global-local,-0.153466,1.475656,#3c9a6b,framework-derived initial node,AI Incident Database,https://incidentdatabase.ai/,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0038,risk,Risk,Socioeconomic and environmental harms,Economic concentration,Market concentration,AI market concentration,AI market concentration,"Compute, data, and platform advantages may concentrate AI power among a small number of firms or countries.",MIT AI Risk Repository; OECD AI policy work,global,0.067116,1.562168,#3c9a6b,framework-derived initial node,OECD AI Policy Observatory,https://oecd.ai/,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0039,risk,Risk,Socioeconomic and environmental harms,Economic concentration,Compute inequality,Compute inequality,compute inequality,"Unequal access to compute infrastructure may shape who can develop, audit, or benefit from AI.",MIT AI Risk Repository; OECD AI policy work,global-local,2.266697,1.198936,#3c9a6b,framework-derived initial node,OECD AI Policy Observatory,https://oecd.ai/,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0040,risk,Risk,Socioeconomic and environmental harms,Environmental harms,Energy consumption,AI energy consumption,AI energy consumption,Training and deploying AI systems can increase electricity demand and emissions.,MIT AI Risk Repository; NIST GenAI Profile,global-local,1.719288,2.097481,#3c9a6b,framework-derived initial node,NIST AI 600-1: Artificial Intelligence Risk Management Framework: Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0041,risk,Risk,Socioeconomic and environmental harms,Environmental harms,Water and resource use,AI water and resource use,AI water and resource use,"Data centers and semiconductor supply chains can increase water, mineral, and land-use pressures.",MIT AI Risk Repository; OECD AI policy work,global-local,0.633225,1.931673,#3c9a6b,framework-derived initial node,OECD AI Policy Observatory,https://oecd.ai/,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0042,risk,Risk,Socioeconomic and environmental harms,Cultural harms,Cultural homogenization,AI cultural homogenization,AI cultural homogenization,Globally dominant model outputs may flatten local cultural variation and normative diversity.,Microsoft Value Compass; MIT AI Risk Repository,global-local,0.20212,2.957524,#3c9a6b,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,3.8849,0.250515,0.9732,0.3105065666041275,9.076100962631696
RISK-REF-0043,risk,Risk,"AI system safety, robustness, and control",Reliability and robustness,Out-of-distribution failure,Out-of-distribution failure,out-of-distribution failure,AI systems may fail unpredictably when deployed outside training or evaluation conditions.,NIST AI RMF; MIT AI Risk Repository; AVID,global,1.263499,1.690067,#2f8fa3,framework-derived initial node,AI Vulnerability Database,https://avidml.org/database/,source,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0044,risk,Risk,"AI system safety, robustness, and control",Reliability and robustness,Adversarial examples,Adversarial examples,adversarial examples,Small perturbations can cause model misclassification or unsafe behavior.,MITRE ATLAS; AVID,global,0.811759,0.861668,#2f8fa3,framework-derived initial node,Explaining and Harnessing Adversarial Examples,https://arxiv.org/abs/1412.6572,paper,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0045,risk,Risk,"AI system safety, robustness, and control",Reliability and robustness,Unsafe code generation,Unsafe code generation,unsafe code generation,"Code models may generate insecure, incorrect, or harmful software artifacts.",OWASP LLM Top 10; NIST GenAI Profile,global,4.744089,0.563858,#2f8fa3,framework-derived initial node,OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,source,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0046,risk,Risk,"AI system safety, robustness, and control",Alignment and control,Reward hacking,Reward hacking,reward hacking,Systems may optimize proxies in ways that violate intended goals or constraints.,MIT AI Risk Repository; NIST GenAI Profile,global,3.183274,2.442325,#2f8fa3,framework-derived initial node,Concrete Problems in AI Safety,https://arxiv.org/abs/1606.06565,paper,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0047,risk,Risk,"AI system safety, robustness, and control",Alignment and control,Goal misgeneralization,Goal misgeneralization,goal misgeneralization,A model may learn behavior that appears aligned in training but fails under new conditions.,MIT AI Risk Repository; AI safety literature,global,0.632101,3.536189,#2f8fa3,framework-derived initial node,Goal Misgeneralization in Deep Reinforcement Learning,https://arxiv.org/abs/2105.14111,paper,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0048,risk,Risk,"AI system safety, robustness, and control",Alignment and control,Loss of control,Loss of control,loss of control,"Increasingly capable systems may resist correction, evade oversight, or act beyond intended bounds.",MIT AI Risk Repository; NIST GenAI Profile,global,-0.10533,2.301794,#2f8fa3,framework-derived initial node,NIST AI 600-1: Artificial Intelligence Risk Management Framework: Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,source,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0049,risk,Risk,"AI system safety, robustness, and control",Evaluation limits,Capability overhang,Capability overhang,capability overhang,"Latent capabilities may exceed what evaluation, monitoring, or governance processes detect.",MIT AI Risk Repository; NIST GenAI Profile,global,-1.11007,1.257039,#2f8fa3,framework-derived initial node,NIST AI 600-1: Artificial Intelligence Risk Management Framework: Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,source,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0050,risk,Risk,"AI system safety, robustness, and control",Evaluation limits,Benchmark gaming,Benchmark gaming,benchmark gaming,Models or providers may overfit to evaluations without improving real-world safety.,NIST GenAI Profile; AVID,global,-0.555814,1.084093,#2f8fa3,framework-derived initial node,AI Vulnerability Database,https://avidml.org/database/,source,2.5888,0.694121,1.7969,0.7379612257661038,14.695217160615474
RISK-REF-0051,risk,Risk,Pluralistic value misalignment,Pluralistic value conflicts,Value imposition,Value imposition,value imposition,AI systems may impose dominant cultural or institutional values on communities with different norms.,Microsoft Value Compass; MIT AI Risk Repository,global-local,0.58389,3.621618,#d65f8d,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0052,risk,Risk,Pluralistic value misalignment,Pluralistic value conflicts,Normative flattening,Normative flattening of plural values,normative flattening,Model outputs can reduce plural social values to simplified or majority-centric defaults.,Microsoft Value Compass,global-local,0.121748,3.680676,#d65f8d,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0053,risk,Risk,Pluralistic value misalignment,Pluralistic value conflicts,Local context mismatch,"Deployment-context mismatch (law, culture, language)",local context mismatch,"AI systems may fail to reflect local law, culture, language, or social expectations.",Microsoft Value Compass; NIST AI RMF,local,2.033155,0.498836,#d65f8d,framework-derived initial node,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0054,risk,Risk,Pluralistic value misalignment,Pluralistic value conflicts,Public value conflict,Public value conflict,public value conflict,"Efficiency, safety, privacy, fairness, and innovation goals may conflict in AI deployment.",NIST AI RMF; Microsoft Value Compass,global-local,-0.672603,2.473046,#d65f8d,framework-derived initial node,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0055,risk,Risk,Pluralistic value misalignment,Cultural and linguistic harms,Translation harm,Machine translation harm,machine translation harm,"Translation systems can distort meaning in legal, medical, cultural, or low-resource-language contexts.",MIT AI Risk Repository; Microsoft Value Compass,local,3.13964,0.433846,#d65f8d,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0056,risk,Risk,Pluralistic value misalignment,Cultural and linguistic harms,Cultural appropriation by AI,AI cultural appropriation,AI cultural appropriation,"Generative systems may reproduce local cultural expressions without consent, context, or benefit sharing.",Microsoft Value Compass; AI Incident Database,local,-0.190795,2.376704,#d65f8d,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0057,risk,Risk,Agentic and multi-agent system failures,Agent planning failures,Tool misuse,Agent tool misuse,agent tool misuse,"Agents may call tools or APIs in unintended ways that create security, financial, or operational harm.; An agent is manipulated into using an integrated tool in an unintended or unauthorized way, producing harmful system, data, or real-world effects.",Microsoft Agent Failure Taxonomy; OWASP LLM Top 10; OWASP Agentic AI - Threats and Mitigations,global,3.519422,0.831823,#7a8f2f,framework-derived initial node,Microsoft Taxonomy of Failure Modes in AI Agents; OWASP Agentic AI - Threats and Mitigations,https://www.microsoft.com/en-us/security/blog/2025/04/24/new-whitepaper-outlines-the-taxonomy-of-failure-modes-in-ai-agents/; https://genai.owasp.org/resource/agentic-ai-threats-and-mitigations/,source; Agentic AI benchmark or taxonomy,4.2,0.581205,1.932,0.7817385866166354,15.616842264837413
RISK-REF-0058,risk,Risk,Agentic and multi-agent system failures,Agent planning failures,Task drift,Agent task drift,agent task drift,An agent may drift from the user’s original intent across multi-step planning or retrieval.,Microsoft Agent Failure Taxonomy; AVID,global,3.197834,0.830719,#7a8f2f,framework-derived initial node,Microsoft Taxonomy of Failure Modes in AI Agents,https://www.microsoft.com/en-us/security/blog/2025/04/24/new-whitepaper-outlines-the-taxonomy-of-failure-modes-in-ai-agents/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0059,risk,Risk,Agentic and multi-agent system failures,Agent planning failures,Unsafe autonomy escalation,Unsafe autonomy escalation,unsafe autonomy escalation,Systems may increase the scope of autonomous action without adequate human approval.,Microsoft Agent Failure Taxonomy; NIST GenAI Profile,global,0.442201,2.324277,#7a8f2f,framework-derived initial node,Microsoft Taxonomy of Failure Modes in AI Agents,https://www.microsoft.com/en-us/security/blog/2025/04/24/new-whitepaper-outlines-the-taxonomy-of-failure-modes-in-ai-agents/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0060,risk,Risk,Agentic and multi-agent system failures,Multi-agent interactions,Coordination failure,Multi-agent coordination failure,multi-agent coordination failure,"Multiple AI agents may interact in unstable, conflicting, or collectively harmful ways.",Microsoft Agent Failure Taxonomy; MIT AI Risk Repository,global,2.205065,0.989067,#7a8f2f,framework-derived initial node,Microsoft Taxonomy of Failure Modes in AI Agents,https://www.microsoft.com/en-us/security/blog/2025/04/24/new-whitepaper-outlines-the-taxonomy-of-failure-modes-in-ai-agents/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
RISK-REF-0061,risk,Risk,Agentic and multi-agent system failures,Multi-agent interactions,Emergent collusion,Emergent collusion,emergent collusion,AI agents may learn or enact collusive behavior in markets or platforms.,MIT AI Risk Repository; OECD AI policy work,global,4.049022,0.86385,#7a8f2f,framework-derived initial node,OECD AI Policy Observatory,https://oecd.ai/,source,2.4777,0.581205,1.4401,0.4840525328330206,12.261199120745848
