L3_id,L0,L1,L2,L3,Korean_label,Definition,source,review,l2_review
POLICY-REF-0185,Policy,AI policy and governance,AI ethics and human-centered governance,ethical impact assessment,,시스템의 윤리적 영향을 사전 평가하는 절차.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0186,Policy,AI policy and governance,AI ethics and human-centered governance,ethical principles,,AI 거버넌스의 토대가 되는 공정·투명·책임 등의 규범적 원칙.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0251,Policy,AI policy and governance,AI ethics and human-centered governance,human oversight,,인간이 AI 작동을 감독·개입할 수 있도록 보장하는 장치.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0254,Policy,AI policy and governance,AI ethics and human-centered governance,human rights impact assessment,,AI가 인권에 미치는 영향을 평가하는 절차.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0244,Policy,AI policy and governance,AI ethics and human-centered governance,human-centered AI,,인간의 존엄·복지·자율을 우선하도록 설계된 AI.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0249,Policy,AI policy and governance,AI ethics and human-centered governance,human-in-the-loop,,의사결정 과정에 인간이 직접 관여하는 구조.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0250,Policy,AI policy and governance,AI ethics and human-centered governance,human-on-the-loop,,인간이 작동을 감시하며 필요 시 개입하는 구조.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0289,Policy,AI policy and governance,AI ethics and human-centered governance,legal personhood,,AI에 법적 권리·의무 주체성을 부여할지에 관한 쟁점.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0298,Policy,AI policy and governance,AI ethics and human-centered governance,meaningful human control,,인간이 실질적으로 통제권을 유지하도록 보장하는 원칙.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0309,Policy,AI policy and governance,AI ethics and human-centered governance,moral responsibility,,AI 행위의 결과에 대한 도덕적 책임 귀속 문제.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0319,Policy,AI policy and governance,AI ethics and human-centered governance,non-maleficence,,AI가 해를 끼치지 않아야 한다는 원칙.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0369,Policy,AI policy and governance,AI ethics and human-centered governance,responsibility attribution,,AI 결과에 대한 책임을 특정 주체에 귀속시키는 문제.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0370,Policy,AI policy and governance,AI ethics and human-centered governance,responsible AI,,윤리·법·사회적 책임을 통합해 AI를 개발·운영하는 접근.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0423,Policy,AI policy and governance,AI ethics and human-centered governance,surveillance,,AI를 통한 개인·집단에 대한 감시.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0459,Policy,AI policy and governance,AI ethics and human-centered governance,trustworthy AI,,합법성·윤리성·견고성을 갖춰 신뢰할 수 있는 AI.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0464,Policy,AI policy and governance,AI ethics and human-centered governance,value alignment,,AI의 목표·행동을 인간의 가치와 일치시키는 정책적 과제.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0466,Policy,AI policy and governance,AI ethics and human-centered governance,value-sensitive design,,인간 가치를 설계 과정에 체계적으로 반영하는 방법론.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0033,Policy,AI policy and governance,AI safety and risk management,AI safety,,AI 시스템이 의도치 않은 해를 끼치지 않도록 보장하는 연구·실무 영역.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0053,Policy,AI policy and governance,AI safety and risk management,Artificial General Intelligence Risk,범용 인공지능 리스크,인간 수준의 전반적 인지 능력을 갖춘 AGI가 통제를 벗어나 인류의 생존과 안보에 초래할 수 있는 잠재적 위협이다.,ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0007,Policy,AI policy and governance,AI safety and risk management,adversarial robustness,,악의적 입력·공격에 견디는 시스템의 강건성.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0072,Policy,AI policy and governance,AI safety and risk management,capability evaluation,,모델이 보유한 능력의 범위·한계를 측정하는 평가.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0076,Policy,AI policy and governance,AI safety and risk management,catastrophic risk,,광범위하고 회복 불가능한 대규모 피해를 초래하는 위험.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0112,Policy,AI policy and governance,AI safety and risk management,dangerous capabilities,,오용 시 중대한 피해를 야기할 수 있는 모델 능력.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0162,Policy,AI policy and governance,AI safety and risk management,dual-use technology,,이로운 용도와 해로운 용도에 모두 쓰일 수 있는 기술.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0195,Policy,AI policy and governance,AI safety and risk management,existential risk,,인류의 존속 자체를 위협할 수 있는 극단적 위험.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0203,Policy,AI policy and governance,AI safety and risk management,fail-safe design,,고장 시에도 안전한 상태로 전환되도록 설계하는 방식.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0214,Policy,AI policy and governance,AI safety and risk management,frontier model safety,,최첨단 대규모 모델의 잠재적 위험을 관리하는 안전 영역.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0238,Policy,AI policy and governance,AI safety and risk management,high-risk AI systems,,기본권·안전에 중대한 영향을 미쳐 강화된 규제 대상이 되는 AI 시스템.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0257,Policy,AI policy and governance,AI safety and risk management,incident reporting,,AI 관련 사고·오작동을 당국·이해관계자에 보고하는 제도.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0301,Policy,AI policy and governance,AI safety and risk management,misuse potential,,시스템이 악의적으로 오용될 수 있는 가능성.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0303,Policy,AI policy and governance,AI safety and risk management,model evaluation,,모델의 성능·안전·위험 특성을 평가하는 절차.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0332,Policy,AI policy and governance,AI safety and risk management,precautionary ethics,,불확실성 하에서 신중과 예방을 강조하는 윤리적 입장.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0333,Policy,AI policy and governance,AI safety and risk management,precautionary principle,,과학적 불확실성이 있어도 잠재적 중대 피해를 예방하도록 신중히 행동하는 원칙.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0357,Policy,AI policy and governance,AI safety and risk management,red-teaming,,의도적으로 시스템의 취약점·오용 가능성을 탐색하는 적대적 시험.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0378,Policy,AI policy and governance,AI safety and risk management,risk assessment,,위험의 발생 가능성과 영향을 체계적으로 식별·평가하는 절차.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0380,Policy,AI policy and governance,AI safety and risk management,risk mitigation,,식별된 위험을 줄이거나 통제하기 위한 조치.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0381,Policy,AI policy and governance,AI safety and risk management,risk tiering,,위험 수준에 따라 시스템을 등급화하는 분류 체계.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0382,Policy,AI policy and governance,AI safety and risk management,robustness testing,,다양한 조건·교란에서 시스템 안정성을 검증하는 시험.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0387,Policy,AI policy and governance,AI safety and risk management,safety case,,시스템이 충분히 안전하다는 근거를 구조적으로 제시하는 문서.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0389,Policy,AI policy and governance,AI safety and risk management,safety guardrails,,위험한 출력·행동을 차단하기 위해 설정한 안전 제약.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0433,Policy,AI policy and governance,AI safety and risk management,systemic risk,,개별 시스템을 넘어 사회·경제 전반에 파급되는 구조적 위험.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0461,Policy,AI policy and governance,AI safety and risk management,unacceptable risk,,사회적으로 용인될 수 없어 금지 대상이 되는 위험 범주.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0063,Policy,AI policy and governance,AI security and critical infrastructure,Autonomous weapons governance,자율무기 거버넌스,"정책문서에서 '자율무기 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0066,Policy,AI policy and governance,AI security and critical infrastructure,Benchmark governance,벤치마크 거버넌스,"정책문서에서 '벤치마크 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0073,Policy,AI policy and governance,AI security and critical infrastructure,Capability thresholds,역량 임계값,"정책문서에서 '역량 임계값' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0092,Policy,AI policy and governance,AI security and critical infrastructure,Computational infrastructure policy,컴퓨팅 인프라 정책,"정책문서에서 '컴퓨팅 인프라 정책' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0108,Policy,AI policy and governance,AI security and critical infrastructure,Cyber resilience,사이버 복원력,"정책문서에서 '사이버 복원력' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0111,Policy,AI policy and governance,AI security and critical infrastructure,Cybersecurity by design,설계단계 보안,"정책문서에서 '설계단계 보안' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0114,Policy,AI policy and governance,AI security and critical infrastructure,Data access governance,데이터 접근 거버넌스,"정책문서에서 '데이터 접근 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0156,Policy,AI policy and governance,AI security and critical infrastructure,Disinformation resilience,허위정보 복원력,"정책문서에서 '허위정보 복원력' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0173,Policy,AI policy and governance,AI security and critical infrastructure,Environmental impact assessment,환경영향평가,"정책문서에서 '환경영향평가' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0175,Policy,AI policy and governance,AI security and critical infrastructure,Environmental sustainability,환경 지속가능성,"정책문서에서 '환경 지속가능성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0187,Policy,AI policy and governance,AI security and critical infrastructure,Ethical procurement,윤리적 조달,"정책문서에서 '윤리적 조달' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0190,Policy,AI policy and governance,AI security and critical infrastructure,Evaluation benchmarks,평가 벤치마크,"정책문서에서 '평가 벤치마크' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0210,Policy,AI policy and governance,AI security and critical infrastructure,Foundation model governance,파운데이션 모델 거버넌스,"정책문서에서 '파운데이션 모델 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0236,Policy,AI policy and governance,AI security and critical infrastructure,Harm prevention,피해 예방,"정책문서에서 '피해 예방' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0296,Policy,AI policy and governance,AI security and critical infrastructure,Machine translation evaluation,기계번역 평가,"정책문서에서 '기계번역 평가' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0367,Policy,AI policy and governance,AI security and critical infrastructure,Research security,연구 보안,"정책문서에서 '연구 보안' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0395,Policy,AI policy and governance,AI security and critical infrastructure,Security incident response,보안 사고 대응,"정책문서에서 '보안 사고 대응' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0396,Policy,AI policy and governance,AI security and critical infrastructure,Security testing,보안 시험,"정책문서에서 '보안 시험' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0427,Policy,AI policy and governance,AI security and critical infrastructure,Sustainability by design,설계단계 지속가능성,"정책문서에서 '설계단계 지속가능성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0444,Policy,AI policy and governance,AI security and critical infrastructure,"Test, evaluation, verification and validation","시험, 평가, 검증 및 확인","정책문서에서 '시험, 평가, 검증 및 확인' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0062,Policy,AI policy and governance,"AI, rights, and biometrics",Autonomous agents,자율 에이전트,"정책문서에서 '자율 에이전트' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0065,Policy,AI policy and governance,"AI, rights, and biometrics",Behavioural manipulation,행동 조작,"정책문서에서 '행동 조작' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0069,Policy,AI policy and governance,"AI, rights, and biometrics",Biometric categorisation,생체정보 범주화,"정책문서에서 '생체정보 범주화' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0070,Policy,AI policy and governance,"AI, rights, and biometrics",Biometric identification,생체인식 식별,"정책문서에서 '생체인식 식별' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0081,Policy,AI policy and governance,"AI, rights, and biometrics",Civil liberties,시민적 자유,"정책문서에서 '시민적 자유' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0083,Policy,AI policy and governance,"AI, rights, and biometrics",Civil rights safeguards,시민권 보호장치,"정책문서에서 '시민권 보호장치' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0115,Policy,AI policy and governance,"AI, rights, and biometrics",Data altruism,데이터 이타주의,"정책문서에서 '데이터 이타주의' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
POLICY-REF-0136,Policy,AI policy and governance,"AI, rights, and biometrics",Democratic accountability,민주적 책임성,"정책문서에서 '민주적 책임성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",ChatGPT_Gemini,pending,researcher_intervened_review_v2
